epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.433,1.79754,2.74404,1.5022,0.86075,0.34529,0.50847,0.29966,1.55034,2.57395,1.40016,0.00040008,0.00040008,0.00040008
2,202.54,1.28557,1.29956,1.13705,0.79586,0.63017,0.75823,0.53194,1.53877,1.98025,1.43443,0.000812787,0.000812787,0.000812787
3,304.274,1.00388,0.93708,1.02452,0.84135,0.74802,0.82281,0.61466,1.25925,1.62121,1.25198,0.00122137,0.00122137,0.00122137
4,406.114,0.94798,0.86357,1.01008,0.81132,0.69364,0.76497,0.56003,1.27401,1.69494,1.2658,0.00162582,0.00162582,0.00162582
5,506.313,0.9636,0.84005,1.00668,0.85574,0.77476,0.86407,0.63927,1.27737,1.44563,1.25683,0.00163399,0.00163399,0.00163399
6,608.094,0.94064,0.8198,0.99747,0.88762,0.83955,0.90407,0.70007,1.17527,1.29079,1.22949,0.00162574,0.00162574,0.00162574
7,709.447,0.79439,0.71216,0.95025,0.92759,0.82376,0.91358,0.73504,1.09072,1.25552,1.19397,0.00161749,0.00161749,0.00161749
8,811.608,0.73783,0.66181,0.93113,0.92719,0.85022,0.93313,0.76228,1.01551,1.22907,1.16183,0.00160924,0.00160924,0.00160924
9,911.603,0.74049,0.6577,0.9343,0.92862,0.87715,0.94277,0.77758,1.00422,1.12612,1.1771,0.00160099,0.00160099,0.00160099
10,1013.27,0.68797,0.62654,0.92018,0.92393,0.85784,0.93281,0.78103,0.99201,1.21471,1.17843,0.00159274,0.00159274,0.00159274
11,1114.31,0.64559,0.59251,0.90364,0.90571,0.86418,0.92503,0.77205,1.01923,1.18881,1.19707,0.00158448,0.00158448,0.00158448
12,1215.77,0.6156,0.56281,0.89435,0.91369,0.84972,0.93926,0.79793,0.90167,1.04572,1.12599,0.00157623,0.00157623,0.00157623
13,1317.9,0.6496,0.58112,0.89804,0.90066,0.86507,0.94446,0.80896,0.84751,0.95835,1.07925,0.00156798,0.00156798,0.00156798
14,1419.25,0.64225,0.57035,0.90071,0.9121,0.89251,0.95494,0.81446,0.86573,0.93149,1.08312,0.00155973,0.00155973,0.00155973
15,1520.53,0.6094,0.55426,0.89841,0.92195,0.90503,0.95522,0.81274,0.90101,0.96879,1.10633,0.00155148,0.00155148,0.00155148
16,1621.85,0.619,0.54323,0.89508,0.94857,0.89272,0.95234,0.81048,0.93477,0.95356,1.12859,0.00154323,0.00154323,0.00154323
17,1725.02,0.58907,0.52563,0.87569,0.93677,0.89272,0.9535,0.80561,0.92237,0.95935,1.10995,0.00153497,0.00153497,0.00153497
18,1826.16,0.57736,0.51191,0.88153,0.92706,0.90232,0.95634,0.81317,0.89936,0.9435,1.10202,0.00152672,0.00152672,0.00152672
19,1930.78,0.59706,0.52599,0.88484,0.93484,0.89954,0.95565,0.82662,0.82994,0.89906,1.08164,0.00151847,0.00151847,0.00151847
20,2033.67,0.56306,0.49357,0.88131,0.93715,0.86981,0.93169,0.8022,0.91791,1.15087,1.12017,0.00151022,0.00151022,0.00151022
21,2135.94,0.56444,0.49241,0.876,0.93004,0.90145,0.95913,0.83099,0.87525,0.89085,1.09974,0.00150197,0.00150197,0.00150197
22,2238.33,0.53142,0.46687,0.87207,0.9266,0.86782,0.95,0.82093,0.85933,0.9152,1.10534,0.00149372,0.00149372,0.00149372
23,2340.9,0.56806,0.5005,0.87856,0.92115,0.8852,0.94561,0.83019,0.85834,0.95334,1.08992,0.00148546,0.00148546,0.00148546
24,2442.45,0.55402,0.46649,0.87029,0.94748,0.86686,0.94259,0.79677,0.90245,0.92019,1.08388,0.00147721,0.00147721,0.00147721
25,2544.26,0.60444,0.47701,0.87958,0.94422,0.86719,0.94735,0.80195,0.89091,0.91277,1.09173,0.00146896,0.00146896,0.00146896
26,2646.1,0.60676,0.50234,0.88808,0.92814,0.8732,0.942,0.80611,0.86643,0.9842,1.10895,0.00146071,0.00146071,0.00146071
27,2747.76,0.53735,0.46678,0.87206,0.94125,0.88296,0.95669,0.84552,0.83019,0.84727,1.08564,0.00145246,0.00145246,0.00145246
28,2851.33,0.5083,0.45432,0.86878,0.94593,0.92383,0.96917,0.83665,0.82058,0.76984,1.07352,0.00144421,0.00144421,0.00144421
29,2952.47,0.5215,0.43477,0.86129,0.93642,0.90193,0.96171,0.83119,0.85008,0.8037,1.08642,0.00143595,0.00143595,0.00143595
30,3055.39,0.53908,0.44955,0.86723,0.92189,0.91446,0.96971,0.85134,0.82355,0.77518,1.06228,0.0014277,0.0014277,0.0014277
31,3154.7,0.48059,0.41301,0.85981,0.94374,0.89145,0.96228,0.85671,0.78224,0.79843,1.05409,0.00141945,0.00141945,0.00141945
32,3254.11,0.47796,0.41464,0.85728,0.94053,0.90562,0.96883,0.85506,0.7691,0.78928,1.0493,0.0014112,0.0014112,0.0014112
33,3353.78,0.50056,0.42469,0.86247,0.94488,0.91129,0.97267,0.8558,0.77046,0.70815,1.03119,0.00140295,0.00140295,0.00140295
34,3454.75,0.50275,0.42246,0.86614,0.92599,0.91477,0.9643,0.84265,0.79313,0.76419,1.04682,0.0013947,0.0013947,0.0013947
