epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.481,1.15523,1.86286,1.4899,0.78528,0.71308,0.77649,0.39188,1.35107,2.61555,2.13238,0.000655172,0.000655172,0.000655172
2,361.896,1.3048,1.58803,1.55329,0.57573,0.61181,0.60694,0.3161,1.74256,2.49948,2.78499,0.00131366,0.00131366,0.00131366
3,542.936,1.36337,1.52926,1.60952,0.50148,0.38397,0.35651,0.08575,2.56996,3.39358,4.1463,0.0019639,0.0019639,0.0019639
4,725.453,1.38247,1.43187,1.61844,0.73011,0.57806,0.63577,0.27981,2.07783,2.01235,3.05453,0.00196287,0.00196287,0.00196287
5,906.189,1.35239,1.31171,1.58814,0.65729,0.42081,0.53331,0.26827,1.86937,2.05099,2.29541,0.0019505,0.0019505,0.0019505
6,1088.02,1.34747,1.2166,1.56254,0.68788,0.827,0.78443,0.41222,1.589,1.34276,2.14704,0.00193813,0.00193813,0.00193813
7,1267.57,1.2819,1.12213,1.52706,0.89528,0.78481,0.88955,0.50042,1.50735,1.28671,2.06494,0.00192575,0.00192575,0.00192575
8,1446.71,1.25059,1.09276,1.48573,0.88269,0.82547,0.8921,0.5366,1.38785,1.07755,1.86082,0.00191338,0.00191338,0.00191338
9,1625.83,1.19811,1.00706,1.45846,0.83262,0.83544,0.89562,0.51442,1.41909,1.14199,1.8904,0.001901,0.001901,0.001901
10,1805.32,1.24228,1.04342,1.49531,0.84944,0.74684,0.87136,0.53781,1.38927,1.10356,1.88303,0.00188863,0.00188863,0.00188863
11,1984.54,1.1891,0.99236,1.46372,0.84255,0.80591,0.88503,0.55045,1.39471,1.0416,1.92373,0.00187625,0.00187625,0.00187625
12,2164.17,1.17201,0.97469,1.44354,0.93398,0.77605,0.88512,0.5001,1.6528,1.03341,2.13952,0.00186388,0.00186388,0.00186388
13,2343.4,1.19355,0.94313,1.45496,0.90067,0.88608,0.92201,0.56323,1.398,0.90406,1.90141,0.0018515,0.0018515,0.0018515
14,2522.15,1.13077,0.98344,1.42124,0.89703,0.8481,0.90342,0.51299,1.51246,0.96689,2.05657,0.00183912,0.00183912,0.00183912
15,2701.53,1.12826,0.88083,1.40945,0.85111,0.86831,0.90334,0.55663,1.37721,0.96734,1.8861,0.00182675,0.00182675,0.00182675
16,2882.96,1.12094,0.86873,1.39257,0.85728,0.81103,0.89359,0.53062,1.52137,1.02806,2.02565,0.00181438,0.00181438,0.00181438
17,3063.67,1.09933,0.84902,1.38668,0.84223,0.90096,0.93676,0.58851,1.35959,0.93114,1.84704,0.001802,0.001802,0.001802
18,3244.44,1.11238,0.85774,1.39616,0.78393,0.66245,0.77013,0.4604,1.60175,1.25544,2.01982,0.00178962,0.00178962,0.00178962
19,3423.24,1.09125,0.8312,1.38816,0.89443,0.78646,0.90829,0.54896,1.35593,1.00125,1.79069,0.00177725,0.00177725,0.00177725
20,3602.87,1.04754,0.83154,1.34804,0.87573,0.86231,0.90193,0.55714,1.49055,1.01818,2.03644,0.00176487,0.00176487,0.00176487
21,3782.56,1.0755,0.81497,1.3638,0.85489,0.83966,0.91319,0.56709,1.3078,0.85544,1.81483,0.0017525,0.0017525,0.0017525
22,3961.87,1.07416,0.7913,1.35432,0.89403,0.85437,0.92764,0.59373,1.22851,0.80028,1.72134,0.00174013,0.00174013,0.00174013
23,4140.4,1.0534,0.78239,1.351,0.70391,0.76793,0.78005,0.46432,1.62609,1.56087,2.023,0.00172775,0.00172775,0.00172775
24,4319.49,1.01718,0.75766,1.30638,0.78684,0.76371,0.81934,0.50181,1.47443,1.13958,1.89726,0.00171537,0.00171537,0.00171537
25,4498.58,1.01434,0.74091,1.31742,0.91737,0.89009,0.95152,0.62924,1.19945,0.80145,1.69717,0.001703,0.001703,0.001703
26,4678.89,0.96782,0.71414,1.30988,0.8835,0.89601,0.9176,0.5875,1.2668,0.80032,1.73116,0.00169063,0.00169063,0.00169063
27,4857.05,0.98059,0.74748,1.30992,0.87147,0.85825,0.92998,0.54956,1.40486,0.90993,1.9564,0.00167825,0.00167825,0.00167825
28,5035.67,0.95046,0.71684,1.29513,0.90636,0.89854,0.93018,0.62013,1.17563,0.84513,1.69051,0.00166588,0.00166588,0.00166588
29,5214.42,0.95033,0.69259,1.27418,0.93249,0.87416,0.93641,0.60215,1.25937,0.76901,1.8423,0.0016535,0.0016535,0.0016535
30,5394.96,0.96732,0.69672,1.30033,0.86625,0.81013,0.9141,0.58144,1.41402,0.93595,1.95479,0.00164113,0.00164113,0.00164113
31,5576.44,0.98799,0.71737,1.29036,0.94012,0.9275,0.95657,0.62896,1.29173,0.78047,1.75358,0.00162875,0.00162875,0.00162875
32,5756.8,0.94367,0.68382,1.26131,0.90309,0.8903,0.93217,0.60293,1.28752,0.78359,1.83519,0.00161638,0.00161638,0.00161638
33,5936.56,0.95378,0.69455,1.27851,0.87744,0.91139,0.93756,0.60743,1.34322,0.75368,1.86637,0.001604,0.001604,0.001604
34,6117.8,0.95427,0.66987,1.27427,0.85053,0.84388,0.90992,0.55791,1.40608,0.86966,1.97551,0.00159162,0.00159162,0.00159162
35,6298.96,0.92911,0.67542,1.25952,0.90667,0.90174,0.94451,0.63727,1.1547,0.74305,1.72522,0.00157925,0.00157925,0.00157925
36,6478.1,0.92656,0.66528,1.27199,0.9031,0.84388,0.91884,0.61123,1.226,0.74727,1.78965,0.00156688,0.00156688,0.00156688
37,6656.56,0.94524,0.66929,1.26853,0.9333,0.8266,0.92309,0.59541,1.19672,0.87127,1.67439,0.0015545,0.0015545,0.0015545
38,6834.74,0.92025,0.65504,1.2621,0.95382,0.90717,0.95527,0.62032,1.17892,0.76706,1.66366,0.00154213,0.00154213,0.00154213
39,7012.09,0.89445,0.61995,1.22449,0.92691,0.86498,0.91407,0.60288,1.33717,0.73485,1.90349,0.00152975,0.00152975,0.00152975
40,7190.07,0.87408,0.61855,1.21428,0.88923,0.90295,0.94374,0.60244,1.22928,0.81005,1.75239,0.00151737,0.00151737,0.00151737
41,7369.61,0.89386,0.60278,1.21349,0.86843,0.87764,0.91946,0.62985,1.12704,0.81885,1.61791,0.001505,0.001505,0.001505
42,7549.42,0.854,0.5966,1.20635,0.88832,0.90619,0.93744,0.61406,1.25443,0.71181,1.76403,0.00149263,0.00149263,0.00149263
